job_id,title,company,city,work_model,experience_level,salary_estimate_eur,description
JOB-1000,Werkstudent Data Analytics,DataWorks,Nürnberg,Hybrid,1,45000,"Gesucht werden Kenntnisse in Java SQL API Scrum. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1001,Machine Learning Intern,Siemens Healthineers,München,Remote,1,18000,"Gesucht werden Kenntnisse in Java SQL API Scrum. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1002,Data Analyst Intern,TechConsult GmbH,München,Vor Ort,1,38000,"Gesucht werden Kenntnisse in Java SQL API Scrum. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1003,Machine Learning Intern,Mobility Systems,Nürnberg,Remote,3,28000,"Gesucht werden Kenntnisse in Machine Learning Python Azure. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1004,IT Process Analyst,Mobility Systems,Bamberg,Remote,1,22000,"Gesucht werden Kenntnisse in Python SQL Data Analytics Tableau. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1005,Junior Business Analyst,Siemens Healthineers,Forchheim,Hybrid,2,28000,"Gesucht werden Kenntnisse in ServiceNow ITSM Scrum. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1006,Werkstudent Digital Transformation,Siemens Healthineers,Remote,Remote,3,18000,"Gesucht werden Kenntnisse in Python Machine Learning SQL. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1007,Junior Business Analyst,CloudOps AG,Bamberg,Vor Ort,3,28000,"Gesucht werden Kenntnisse in AWS API Python. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1008,Data Analyst Intern,Siemens Healthineers,Erlangen,Vor Ort,1,28000,"Gesucht werden Kenntnisse in Python Machine Learning SQL. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1009,Data Analyst Intern,Siemens Healthineers,Forchheim,Remote,2,45000,"Gesucht werden Kenntnisse in Java SQL API Scrum. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1010,IT Process Analyst,DataWorks,Bamberg,Hybrid,2,45000,"Gesucht werden Kenntnisse in ServiceNow ITSM Scrum. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1011,Supply Chain Data Analyst,TechConsult GmbH,München,Vor Ort,1,22000,"Gesucht werden Kenntnisse in Java SQL API Scrum. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1012,BI Analyst,DataWorks,Remote,Vor Ort,3,22000,"Gesucht werden Kenntnisse in Tableau Excel Data Analytics. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1013,Werkstudent Data Analytics,TechConsult GmbH,Erlangen,Remote,2,28000,"Gesucht werden Kenntnisse in ServiceNow ITSM Scrum. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1014,Data Analyst Intern,CloudOps AG,Remote,Remote,1,45000,"Gesucht werden Kenntnisse in Java SQL API Scrum. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1015,BI Analyst,Mobility Systems,Nürnberg,Remote,1,22000,"Gesucht werden Kenntnisse in Tableau Excel Data Analytics. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1016,Machine Learning Intern,DataWorks,Remote,Vor Ort,2,38000,"Gesucht werden Kenntnisse in Java Spring SQL. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1017,Junior Java Developer,TechConsult GmbH,Nürnberg,Vor Ort,2,18000,"Gesucht werden Kenntnisse in AWS API Python. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1018,Junior Business Analyst,TechConsult GmbH,Remote,Hybrid,2,38000,"Gesucht werden Kenntnisse in Python SQL Data Analytics Tableau. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1019,BI Analyst,Mobility Systems,München,Remote,3,28000,"Gesucht werden Kenntnisse in Java SQL API Scrum. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1020,Werkstudent Data Analytics,Siemens Healthineers,Remote,Vor Ort,2,45000,"Gesucht werden Kenntnisse in Java Spring SQL. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1021,Junior Business Analyst,DataWorks,Forchheim,Hybrid,2,18000,"Gesucht werden Kenntnisse in ServiceNow ITSM Scrum. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1022,Machine Learning Intern,TechConsult GmbH,München,Hybrid,2,45000,"Gesucht werden Kenntnisse in Power BI SQL ETL. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1023,Supply Chain Data Analyst,TechConsult GmbH,Nürnberg,Remote,1,38000,"Gesucht werden Kenntnisse in Java Spring SQL. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1024,Werkstudent Data Analytics,CloudOps AG,Bamberg,Remote,1,18000,"Gesucht werden Kenntnisse in Java Spring SQL. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1025,Werkstudent Digital Transformation,TechConsult GmbH,Erlangen,Hybrid,3,18000,"Gesucht werden Kenntnisse in ServiceNow ITSM Scrum. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1026,ITSM Analyst,Siemens Healthineers,München,Hybrid,1,45000,"Gesucht werden Kenntnisse in Java SQL API Scrum. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1027,Machine Learning Intern,TechConsult GmbH,Bamberg,Vor Ort,3,32000,"Gesucht werden Kenntnisse in Tableau Excel Data Analytics. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1028,Machine Learning Intern,TechConsult GmbH,Remote,Remote,2,45000,"Gesucht werden Kenntnisse in Machine Learning Python Azure. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1029,ITSM Analyst,CloudOps AG,Forchheim,Hybrid,1,22000,"Gesucht werden Kenntnisse in ServiceNow ITSM Scrum. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1030,Junior Java Developer,Siemens Healthineers,München,Vor Ort,1,38000,"Gesucht werden Kenntnisse in Java SQL API Scrum. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1031,Werkstudent Data Analytics,Siemens Healthineers,Remote,Vor Ort,1,22000,"Gesucht werden Kenntnisse in Machine Learning Python Azure. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1032,Werkstudent Data Analytics,DataWorks,Erlangen,Vor Ort,1,28000,"Gesucht werden Kenntnisse in Java SQL API Scrum. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1033,Data Analyst Intern,CloudOps AG,Nürnberg,Vor Ort,3,38000,"Gesucht werden Kenntnisse in Tableau Excel Data Analytics. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1034,Data Analyst Intern,Mobility Systems,Forchheim,Hybrid,1,18000,"Gesucht werden Kenntnisse in Tableau Excel Data Analytics. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1035,Junior Java Developer,Mobility Systems,Forchheim,Remote,1,45000,"Gesucht werden Kenntnisse in AWS API Python. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1036,Werkstudent Data Analytics,Mobility Systems,Remote,Remote,1,22000,"Gesucht werden Kenntnisse in Java SQL API Scrum. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1037,Data Analyst Intern,CloudOps AG,Forchheim,Hybrid,2,22000,"Gesucht werden Kenntnisse in Machine Learning Python Azure. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1038,ITSM Analyst,TechConsult GmbH,Erlangen,Remote,3,18000,"Gesucht werden Kenntnisse in Power BI SQL ETL. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1039,Machine Learning Intern,Siemens Healthineers,Erlangen,Hybrid,1,32000,"Gesucht werden Kenntnisse in Python SQL Data Analytics Tableau. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1040,ITSM Analyst,TechConsult GmbH,Forchheim,Hybrid,1,32000,"Gesucht werden Kenntnisse in Tableau Excel Data Analytics. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
JOB-1041,BI Analyst,DataWorks,Forchheim,Remote,2,45000,"Gesucht werden Kenntnisse in Python SQL Data Analytics Tableau. Aufgaben: Reporting, Prozessanalyse, Dokumentation und Stakeholder-Abstimmung."
